ServC	ServCl	ServB	WhichServ	wC	wCl	wB	NewHA	Cropkcal	Pastkcal	EmittedC	HabAvgImpac	HabStdImpac	DelHAvgImpac	DelHStdImpac	DelQAvgImpac	DelQStdImpac	Combokcal
NA	NA	B	B	0.025	0.025	0.95	108048595.1	5.80189E+14	2.77608E+12	-23345585358	560.814828	92.98085	0.339683	0.362043	-0.890349	0.323516	5.82965E+14
NA	NA	B	B	0	0	1	108000238.1	5.8404E+14	2.79154E+12	-25245717845	558.169058	91.675297	0.348566	0.364278	-0.888222	0.321218	5.86831E+14
C	NA	NA	C	0.3	0.35	0.35	110046943.3	5.75078E+14	2.99417E+12	-19716110809	695.504609	198.177314	0.16038	0.337542	-0.720961	0.341335	5.78072E+14
C	NA	NA	C	0.35	0.325	0.325	109821392.8	5.71258E+14	2.906E+12	-18371469908	702.103926	209.848836	0.20995	0.354319	-0.772828	0.351717	5.74164E+14
C	NA	NA	C	0.4	0.3	0.3	108119875.5	5.59429E+14	2.77464E+12	-16614357314	716.445982	233.38149	0.25759	0.365071	-0.825465	0.356256	5.62204E+14
																	
																	
																	
																	
																	
