"wC"	"wCl"	"wB"	"NewHA"	"Cropkcal"	"Pastkcal"	"EmittedC"	"HabAvgImpac"	"HabStdImpac"	"DelHAvgImpac"	"DelHStdImpac"	"DelQAvgImpac"	"DelQStdImpac"	"ClimRegIndexAvgImpac"	"ClimRegIndexStdImpac"	"Combokcal"	"SimulationFactor"
"0.35"	"0.195"	"0.455"	"110090000"	"5.7009e+14"	"2.7309e+12"	"-1.5937e+10"	"529.47"	"137.68"	"0.3274"	"0.34023"	"-0.89384"	"0.34249"	"0.54561"	"0.20734"	"5.7282e+14"	"AllLand"
"0.35"	"0.2275"	"0.4225"	"112530000"	"5.8411e+14"	"2.8362e+12"	"-1.6968e+10"	"534.37"	"144.93"	"0.30743"	"0.33991"	"-0.86825"	"0.34763"	"0.527"	"0.21211"	"5.8695e+14"	"AllLand"
"0.35"	"0.26"	"0.39"	"109940000"	"5.7047e+14"	"2.8014e+12"	"-1.6816e+10"	"538.41"	"154.01"	"0.28544"	"0.34123"	"-0.84383"	"0.35256"	"0.50941"	"0.21467"	"5.7327e+14"	"AllLand"
"0.35"	"0.2925"	"0.3575"	"108440000"	"5.6306e+14"	"2.7965e+12"	"-1.6946e+10"	"543.35"	"163.56"	"0.26155"	"0.34086"	"-0.81703"	"0.35602"	"0.49012"	"0.21595"	"5.6586e+14"	"AllLand"
"0.35"	"0.325"	"0.325"	"108840000"	"5.6611e+14"	"2.8487e+12"	"-1.7641e+10"	"551.65"	"175.97"	"0.22984"	"0.33393"	"-0.78026"	"0.35478"	"0.46341"	"0.21221"	"5.6896e+14"	"AllLand"
"0.35"	"0.3575"	"0.2925"	"109840000"	"5.7259e+14"	"2.9206e+12"	"-1.847e+10"	"561.06"	"187.44"	"0.19804"	"0.3243"	"-0.74322"	"0.35102"	"0.43651"	"0.20614"	"5.7551e+14"	"AllLand"
"0"	"0.75"	"0.25"	"111370000"	"6.1633e+14"	"3.5801e+12"	"-3.2036e+10"	"679.63"	"154.78"	"0.044061"	"0.11618"	"-0.42209"	"0.098203"	"0.20991"	"0.044592"	"6.1991e+14"	"AllLand"
"0.35"	"0.39"	"0.26"	"110440000"	"5.7674e+14"	"2.978e+12"	"-1.9128e+10"	"570.65"	"197.91"	"0.17079"	"0.31589"	"-0.7117"	"0.34767"	"0.4138"	"0.2008"	"5.7972e+14"	"AllLand"
"0.35"	"0.4225"	"0.2275"	"110360000"	"5.7718e+14"	"3.0115e+12"	"-1.9543e+10"	"580.72"	"209.91"	"0.14957"	"0.30997"	"-0.68651"	"0.34552"	"0.39612"	"0.19723"	"5.8019e+14"	"AllLand"
"0.35"	"0.455"	"0.195"	"109050000"	"5.7077e+14"	"2.9996e+12"	"-1.9563e+10"	"588.77"	"219.52"	"0.13495"	"0.30609"	"-0.66922"	"0.34421"	"0.3841"	"0.19512"	"5.7377e+14"	"AllLand"
"0.35"	"0.4875"	"0.1625"	"113130000"	"5.9435e+14"	"3.1577e+12"	"-2.1132e+10"	"601.3"	"228.31"	"0.12379"	"0.2979"	"-0.64917"	"0.33915"	"0.37009"	"0.19236"	"5.9751e+14"	"AllLand"
"0.35"	"0.52"	"0.13"	"110450000"	"5.8167e+14"	"3.1158e+12"	"-2.1094e+10"	"612.81"	"238.7"	"0.11354"	"0.28458"	"-0.63035"	"0.3333"	"0.35606"	"0.18799"	"5.8479e+14"	"AllLand"
"0.35"	"0.5525"	"0.0975"	"113900000"	"6.0277e+14"	"3.2685e+12"	"-2.2813e+10"	"628.83"	"246.9"	"0.10357"	"0.2698"	"-0.60766"	"0.32147"	"0.3397"	"0.1818"	"6.0604e+14"	"AllLand"
"0.35"	"0.585"	"0.065"	"111400000"	"5.9189e+14"	"3.2436e+12"	"-2.3187e+10"	"646.15"	"255.18"	"0.092305"	"0.25456"	"-0.58254"	"0.30769"	"0.32241"	"0.1737"	"5.9513e+14"	"AllLand"
"0.35"	"0.6175"	"0.0325"	"108830000"	"5.81e+14"	"3.227e+12"	"-2.3944e+10"	"668.15"	"259.47"	"0.0733"	"0.23941"	"-0.54578"	"0.28353"	"0.29892"	"0.15898"	"5.8423e+14"	"AllLand"
"0.35"	"0.65"	"0"	"112650000"	"6.0467e+14"	"3.4069e+12"	"-2.6368e+10"	"690.36"	"259.98"	"0.056321"	"0.22576"	"-0.51131"	"0.25201"	"0.2775"	"0.14035"	"6.0807e+14"	"AllLand"
"0.4"	"0"	"0.6"	"110740000"	"5.7129e+14"	"2.6448e+12"	"-1.5086e+10"	"522.13"	"116.17"	"0.39993"	"0.32846"	"-0.98348"	"0.30362"	"0.61022"	"0.17542"	"5.7394e+14"	"AllLand"
"0"	"0.8"	"0.2"	"111630000"	"6.1836e+14"	"3.6004e+12"	"-3.2157e+10"	"688.29"	"161.63"	"0.046086"	"0.10985"	"-0.42117"	"0.0943"	"0.20885"	"0.043119"	"6.2197e+14"	"AllLand"
"0.4"	"0.03"	"0.57"	"110710000"	"5.7141e+14"	"2.6493e+12"	"-1.5073e+10"	"523.23"	"120.05"	"0.39364"	"0.33014"	"-0.97552"	"0.30837"	"0.60459"	"0.17927"	"5.7406e+14"	"AllLand"
"0.4"	"0.06"	"0.54"	"110800000"	"5.7199e+14"	"2.6589e+12"	"-1.5114e+10"	"524.41"	"123.8"	"0.38609"	"0.33232"	"-0.96623"	"0.31346"	"0.59805"	"0.18339"	"5.7465e+14"	"AllLand"
