wC	wCl	wB	NewHA	Cropkcal	Pastkcal	EmittedC	HabAvgImpac	HabStdImpac	DelHAvgImpac	DelHStdImpac	DelQAvgImpac	DelQStdImpac	ClimRegIndexAvgImpac	ClimRegIndexStdImpac	Combokcal
0.5	0.075	0.425	110525045.6	5.71284E+14	2.66092E+12	-15179306560	698.34979	216.220147	0.37161	0.358193	-0.952992	0.324508	0.595888	0.183695	5.73945E+14
0.5	0.1	0.4	110384487.5	5.70189E+14	2.66136E+12	-15131065845	701.707691	219.223984	0.366328	0.359292	-0.947515	0.32698	0.591717	0.18609	5.7285E+14
0.5	0.125	0.375	110400559.9	5.69912E+14	2.6662E+12	-15138448685	705.381369	222.461313	0.36034	0.360451	-0.940984	0.32969	0.58685	0.188722	5.72578E+14
0.5	0.15	0.35	110442942.3	5.69689E+14	2.67357E+12	-15167692589	710.172304	227.346595	0.35352	0.361627	-0.933394	0.332564	0.581221	0.191602	5.72362E+14
0.5	0.175	0.325	110446003.7	5.69412E+14	2.68254E+12	-15220048670	716.559648	236.781337	0.34556	0.362422	-0.924382	0.335621	0.574391	0.19489	5.72094E+14
0.5	0.2	0.3	110632724.2	5.70201E+14	2.70004E+12	-15347554178	724.664396	249.372646	0.336421	0.362938	-0.913295	0.339048	0.566221	0.198344	5.72901E+14
0.05	0	0.95	110935967.3	5.92043E+14	2.77873E+12	-21762175706	569.097094	96.052656	0.364935	0.355091	-0.925742	0.315044	0.583075	0.175017	5.94821E+14
0.5	0.225	0.275	108113431.1	5.56355E+14	2.65056E+12	-14885460399	733.115146	263.037734	0.325563	0.364208	-0.901471	0.342852	0.55754	0.201346	5.59006E+14
0.5	0.25	0.25	108882605.2	5.60489E+14	2.69362E+12	-15228082134	744.965089	279.837262	0.313231	0.364114	-0.886318	0.346023	0.546412	0.204744	5.63183E+14
0.5	0.275	0.225	109926386.3	5.66154E+14	2.74504E+12	-15681364495	755.429019	291.96415	0.301344	0.36332	-0.871682	0.348568	0.535525	0.20759	5.68899E+14
0.5	0.3	0.2	108659887.8	5.59332E+14	2.73417E+12	-15628273422	764.923834	303.747271	0.28771	0.363592	-0.856889	0.35171	0.524539	0.209979	5.62066E+14
0.5	0.325	0.175	110609713.2	5.7028E+14	2.81374E+12	-16379856278	776.040461	314.362851	0.27455	0.361711	-0.840653	0.353608	0.51235	0.212287	5.73094E+14
0.5	0.35	0.15	109978401.2	5.67052E+14	2.81986E+12	-16508717650	787.157577	328.852374	0.260362	0.360907	-0.825242	0.355597	0.50089	0.213605	5.69872E+14
